日期,新增确诊人数,确诊人数,治愈人数,死亡人数,死亡率,治愈率
01.28,0,5,0,0
01.29,0,5,0,0
01.30,1,6,0,0
01.31,0,6,0,0
02.01,1,7,0,0
02.02,1,8,0,0
02.03,3,11,1,0,0.00%,100.00%
02.04,0,11,1,0,0.00%,100.00%
02.05,0,11,1,0,0.00%,100.00%
02.06,1,12,1,0,0.00%,100.00%
02.07,0,12,1,0,0.00%,100.00%
02.08,0,12,1,0,0.00%,100.00%
02.09,0,12,1,0,0.00%,100.00%
02.10,0,12,1,0,0.00%,100.00%
02.11,1,13,1,0,0.00%,100.00%
02.12,0,13,3,0,0.00%,100.00%
02.13,1,14,3,0,0.00%,100.00%
02.14,1,15,3,0,0.00%,100.00%
02.15,0,15,3,0,0.00%,100.00%
02.16,0,15,3,0,0.00%,100.00%
02.17,0,15,3,0,0.00%,100.00%
02.18,0,15,3,0,0.00%,100.00%
02.19,0,15,3,0,0.00%,100.00%
02.20,0,15,3,0,0.00%,100.00%
02.21,0,15,3,0,0.00%,100.00%
02.22,19,34,3,0,0.00%,100.00%
02.23,0,34,3,0,0.00%,100.00%
02.24,1,35,3,0,0.00%,100.00%
02.25,18,53,3,0,0.00%,100.00%
02.26,4,57,3,0,0.00%,100.00%
02.27,3,60,3,0,0.00%,100.00%
02.28,0,60,3,0,0.00%,100.00%
02.29,4,64,3,0,0.00%,100.00%
03.01,9,69,3,1,25.00%,75.00%
03.02,20,89,3,2,40.00%,60.00%
03.03,16,105,3,6,66.67%,33.33%
03.04,21,126,3,9,75.00%,25.00%
03.05,35,161,8,11,57.89%,42.11%
03.06,73,234,8,14,63.64%,36.36%
03.07,103,337,10,17,62.96%,37.04%
03.08,118,455,10,19,65.52%,34.48%
03.09,127,582,10,22,68.75%,31.25%
03.10,173,755,10,26,72.22%,27.78%
03.11,297,1052,15,31,67.39%,32.61%
03.12,269,1329,15,38,71.70%,28.30%
03.13,551,1880,31,41,56.94%,43.06%
03.14,356,2236,31,49,61.25%,38.75%
03.15,697,2943,48,60,55.56%,44.44%
03.16,831,3774,73,69,48.59%,51.41%
03.17,913,4687,74,93,55.69%,44.31%
03.18,1835,6522,106,116,52.25%,47.75%
03.19,3737,10259,106,152,58.91%,41.09%
03.20,4106,14365,125,212,62.91%,37.09%
03.21,5811,20176,147,277,65.33%,34.67%
03.22,6680,26856,178,346,66.03%,33.97%
03.23,8368,35224,178,471,72.57%,27.43%
03.24,11219,46443,314,586,65.11%,34.89%
03.25,8799,55242,354,801,69.35%,30.65%
03.26,13981,69223,619,1054,63.00%,37.00%
03.27,16820,86043,753,1304,63.39%,36.61%
03.28,18794,104839,869,1716,66.38%,33.62%
03.29,19837,124676,1095,2196,66.73%,33.27%
03.30,17954,143071,4856,2513,34.10%,65.90%
03.31,22803,165874,5995,3178,34.65%,65.35%
04.01,24215,190089,7141,4102,36.48%,63.52%
04.02,27174,217263,8710,5151,37.16%,62.84%
04.03,28395,245658,9311,6069,39.46%,60.54%
04.04,32910,278568,9920,7163,41.93%,58.07%
04.05,33913,312481,15021,8503,36.15%,63.85%
04.06,25490,337971,17582,9654,35.45%,64.55%
04.07,31098,369069,20003,11018,35.52%,64.48%
04.08,30910,399979,22539,12912,36.42%,63.58%
04.09,32600,432579,24213,14830,37.98%,62.02%
04.10,34605,467184,26522,16736,38.69%,61.31%
04.11,34517,501701,29192,18781,39.15%,60.85%
04.12,29129,530830,32314,20646,38.98%,61.02%
04.13,28169,558999,42009,22154,34.53%,65.47%
04.14,24221,583220,44319,23654,34.80%,65.20%
04.15,26775,609995,50045,26069,34.25%,65.75%
04.16,29567,640014,52772,31002,37.01%,62.99%
04.17,32165,672293,56243,33325,37.21%,62.79%
04.18,28866,706856,60523,37087,38.00%,62.00%
04.19,26070,735366,66854,39095,36.90%,63.10%
04.20,28088,760570,71011,40702,36.43%,63.57%
04.21,25985,788920,73533,42458,36.60%,63.40%
04.22,29973,826248,75682,45153,37.37%,62.63%
04.23,31900,843981,77064,46859,37.81%,62.19%
04.24,38958,871285,80937,50066,38.22%,61.78%
04.25,35419,907096,99129,52063,34.44%,65.56%
04.26,26509,941628,105823,54024,33.80%,66.20%
04.27,23196,967585,107060,54931,33.91%,66.09%
04.28,25409,990135,111587,56475,33.60%,66.40%
04.29,28429,1015289,115955,58529,33.54%,66.46%
04.30,30829,1043595,124294,61187,32.99%,67.01%
05.01,36007,1095023,153947,63019,29.05%,70.95%
